老师编号,老师工号,老师姓名,常带课程,可带课程
1001,T0001,焦园贞,建筑设计B1,航空仪表；经代史；固体物理
1002,T0002,刁晨庆,法理学；宪法,中国法制史；民法；商法
1003,T0003,汤希影,科学技术哲学,实践性教学环节；数学物理方法；无机化学
1004,T0004,邬瑞婷,分析化学,材料科学基础；固体物理学；化工热力学
1005,T0005,成金棠,纺织品设计学,纺织厂空气调节；化工热力学；能源工程概论
1006,T0006,屈信宪,交通运输法则,核动力装置；农学B；感测技术
1007,T0007,黎艺妍,植物营养学,计算机软件技术基础；运动控制
1008,T0008,山融亿,建筑师业务基础,电路理论；罐头食品加工与软饮料工艺学；生态与可持续发展经济学
1009,T0009,薄议克,运动控制,隐身技术；高等数学B；化工热力学
1010,T0010,郏卿菁,地质学A；地质学B1;地质学B2；地质学C,岩石学；矿床学；计算机基础
1011,T0011,孟帆贤,交响乐欣赏,大学物理B2；地球化学；新闻学
1012,T0012,宿玲艺,电路原理,电子技术基础；计算机原理及应用；电力电子技术
1013,T0013,冉云丽,交通运输设备,口腔修复学；纺织导论；中国通史
1014,T0014,俞蔚河,普通化学A,普通化学B；计算机基础；化工热力学
1015,T0015,尤云等,中国诗词欣赏,复变函数；建筑材料；普通天文学
1016,T0016,茹珊蓉,操作系统,编译技术；数据结构；计算机基础
1017,T0017,戚牧迎,反应堆工程原理,数据结构；毛泽东思想；普通天文学
1018,T0018,谭世哲,实验力学,计算天文学入门；地图与遥感；哲学概论
1019,T0019,卓景言,森林植物学,植物生理学；植物营养学；实体天体物理
1020,T0020,杜琳丹,动物科学,蚕学；蜂学；ps
1021,T0021,符伊蓉,建筑与城市摄影,生态建筑概论；计算机技术；面向对象程序设计
1022,T0022,柯明昌,普通化学A,农牧业生产基础；建筑材料；外科护理学
1023,T0023,黎茗真,生物学基础,农牧业生产基础；计算机基础；地图与遥感
1024,T0024,谭霞真,史学导论,振动力学；国际金融；实变与泛函
1025,T0025,席斌良,科学技术哲学,实践性教学环节；国际贸易运输与保险；有机化学B
1026,T0026,童岚滢,刺灸学,经络学；推拿临床治疗学；实体天体物理学
1027,T0027,杨融宜,中小学教学法,工程制图；中外哲学原著导读；教育通论
1028,T0028,蒯君滢,结晶矿物学,弹性力学；构造地质学；地球物理及勘探方法
1029,T0029,富继映,电机维修,电工电子技术；数控加工技术；图像识别
1030,T0030,羿庆为,空气动力学,哲学概论；普通心理学；实体天体物理学
1031,T0031,滑之晟,飞机维修,大气科学概论；纺纱学；大气科学概论B1
1032,T0032,后洁娴,岩土力学,工程制图；地基与基础；实体天体物理学
